,Year,Date,Country,City,Deaths,Type
0,2019,January 17,Colombia,Bogotá,21,suicide car bomb
1,,January 21,Afghanistan,Maidan Shar,126,car bomb
2,,February 14,India,Pulwama,40+,car bomb
3,2018,January 27,Afghanistan,Kabul,103+,bomb in ambulance
4,2017,October 14,Somalia,Mogadishu,587,truck bomb
5,,May 31,Afghanistan,Kabul,90+,car bomb
6,,April 15,Syria,Aleppo,126+,car bomb
7,,November 24,Iraq,Hillah,125,truck bomb
8,,July 3,Iraq,Baghdad,323+,truck bomb
9,,July 3,Iraq,Baghdad,5,car bomb
10,,May 17,Iraq,Baghdad,30,car bomb
11,,May 17,Iraq,Baghdad,6,car bomb
12,,May 17,Iraq,Baghdad,8,car bomb
13,2016,January 11,Iraq,Baghdad,12,car bomb
14,,October 3,Syria,Aleppo,40,three suicide car bombs
15,,September 9,Syria,Aleppo,30,car bomb
16,,July 31,Iraq,Baghdad,21,two car bombs
17,,July 23,Iraq,13 cities,116,"suicide bombs, car bombs, shootings"
18,,June 13,Iraq,"Baghdad, 6 other cities",93,"suicide car bombs, shootings"
19,,May 19,Syria,Deir ez-Zor,9,car bomb
20,,May 10,Syria,Damascus,55,suicide car bombs
21,,April 30,Syria,Idlib,20,car bombs
22,,April 8,Nigeria,Kaduna,38,suicide car bombs
23,,March 31,Thailand,YalaHat Yai,16,car and trucks bombs
24,,March 20,Iraq,"Baghdad, 9 other cities",52,"car bombs, suicide car bombs, shootings"
25,,March 17,Syria,Damascus,27,two car bombs
26,,February 23,Iraq,"Baghdad, 14 other cities",83,"suicide car bombs, shootings"
27,,February 10,Syria,Aleppo,28,suicide car bombs
28,,January 27,Iraq,Baghdad,32,suicide car bomb
29,,January 10,Pakistan,Jamrud,30,car bomb
30,2012,January 5,Iraq,BaghdadNasiriyah,73,"suicide car/motorcycle bombs, shootings"
31,,December 23,Syria,Damascus,44,suicide car bombs
32,,December 22,Iraq,Baghdad,60–72,suicide car bombs
33,,September 25,Iraq,Karbala,25,"car bomb, suicide bombings"
34,,October 7–13,Iraq,Baghdad,64,"car bombs, suicide bombs, IEDs, shootings"
35,,August 16,Nigeria,Abuja,21,suicide car bomb
36,,July 22,Norway,Oslo,8,van bomb
37,,June 25,Afghanistan,Logar Province,20–35,suicide car bomb
38,,June 16,Nigeria,Abuja,2–6,suicide car bomb
39,,May 26,China,"Fuzhou, Jiangxi",3,suicide car bombs
40,,May 13,Pakistan,Charsadda District,98,suicide car bombs
41,,May 5,Iraq,Al Hillah,24,suicide car bomb
42,,March 9,Pakistan,Peshawar,40,suicide car bomb
43,,March 8,Pakistan,Faisalabad,25,car bomb
44,,January 27,Iraq,Baghdad,48,car bomb
45,,January 24,Iraq,BaghdadKarbala,27,July 22
46,2011,January 18–20,Iraq,"Baqubah, Karbala, Tikrit",137,"car bombs, suicide car bombs, shooting"
47,,December 6,Pakistan,Ghalanai,50,suicide car bombs
48,,November 11,Pakistan,Karachi,18,"suicide car bombs, grenades, shootings"
49,,November 2,Iraq,Baghdad,57–62,"car bombs, roadside bombs"
50,,October 1,Nigeria,Abuja,12,two car bombs
51,,September 19,Iraq,Baghdad,31,"car bombs, remote bomb"
52,,August 17,Iraq,Baghdad,69,"truck bomb, suicide bomb"
53,,June 20,Iraq,Baghdad,26,two suicide car bombs
54,,May 10,Iraq,"Baghdad, 8 other cities.",100,"suicide car bombs, shootings"
55,,April 23–24,Iraq,Baghdad,85,car bombs
56,,April 5,Pakistan,Peshawar,50,suicide car bombs
57,,April 4,Iraq,Baghdad,42,car bombs
58,,March 18,Afghanistan,Kabul,18,suicide car bomb
59,,March 12,Pakistan,Lahore,72,suicide car bombs
60,,March 3,Iraq,Baqubah,33,suicide car bombs
61,,February 10,Pakistan,Khyber Agency,19,suicide car bomb
62,,January 25,Iraq,Baghdad,41,three suicide car bombs
63,2010,January 1,Pakistan,Shah Hasan Khel,105,suicide car bomb
